iter	Passed	Remaining
403	8505	12547
404	8529	12531
405	8546	12503
406	8564	12477
407	8581	12451
408	8610	12442
409	8628	12417
410	8645	12390
411	8693	12407
412	8713	12383
413	8736	12365
414	8772	12365
415	8855	12431
416	8885	12422
417	8905	12398
418	8926	12377
419	8976	12396
420	8995	12371
421	9009	12340
422	9026	12312
423	9045	12288
424	9063	12263
425	9083	12239
426	9103	12216
427	9124	12194
428	9145	12173
429	9163	12146
430	9176	12114
431	9197	12093
432	9215	12067
433	9233	12042
434	9249	12013
435	9267	11988
436	9290	11969
437	9303	11937
438	9323	11914
439	9342	11890
440	9357	11861
441	9377	11838
442	9400	11819
443	9420	11797
444	9439	11772
445	9458	11748
446	9475	11722
447	9498	11703
448	9515	11676
449	9532	11650
450	9552	11628
451	9569	11601
452	9589	11579
453	9608	11555
454	9622	11525
455	9638	11498
456	9655	11472
457	9675	11450
458	9692	11424
459	9707	11395
460	9726	11372
461	9740	11343
462	9758	11318
463	9774	11291
464	9793	11268
465	9813	11245
466	9832	11221
467	9850	11197
468	9877	11183
469	9892	11155
470	9916	11137
471	9936	11115
472	9959	11096
473	9979	11074
474	9998	11050
475	10017	11028
476	10034	11002
477	10051	10976
478	10063	10946
479	10079	10919
480	10095	10893
481	10114	10869
482	10132	10846
483	10150	10821
484	10170	10799
485	10188	10775
486	10205	10749
487	10220	10723
488	10238	10699
489	10258	10677
490	10273	10649
491	10290	10625
492	10312	10604
493	10326	10577
494	10343	10552
495	10357	10524
496	10373	10498
497	10388	10471
498	10403	10445
499	10424	10424
500	10442	10400
501	10466	10383
502	10479	10354
503	10496	10329
504	10514	10306
505	10534	10284
506	10550	10259
507	10566	10233
508	10583	10209
509	10606	10190
510	10623	10165
511	10639	10140
512	10654	10114
513	10671	10089
514	10694	10071
515	10708	10044
516	10723	10018
517	10740	9994
518	10759	9971
519	10773	9944
520	10792	9922
521	10811	9900
522	10833	9880
523	10860	9865
524	10880	9844
525	10987	9901
526	11029	9899
527	11069	9895
528	11104	9886
529	11123	9864
530	11167	9863
531	11184	9839
532	11205	9818
533	11221	9792
534	11238	9767
535	11253	9742
536	11271	9718
537	11288	9693
538	11302	9666
539	11322	9645
540	11334	9616
541	11348	9590
542	11377	9575
543	11396	9552
544	11412	9527
545	11436	9509
546	11456	9487
547	11467	9458
548	11487	9437
549	11504	9412
550	11522	9389
551	11543	9368
552	11561	9345
553	11575	9318
554	11597	9299
555	11613	9274
556	11632	9251
557	11655	9232
558	11670	9207
559	11684	9180
560	11703	9158
561	11719	9133
562	11738	9111
563	11752	9085
564	11767	9060
565	11785	9037
566	11806	9015
567	11822	8992
568	11843	8970
569	11858	8945
570	11880	8926
571	11910	8911
572	11928	8889
573	11948	8867
574	11969	8846
575	11988	8824
576	12008	8803
577	12023	8778
578	12039	8753
579	12062	8734
580	12079	8711
581	12096	8687
582	12118	8667
583	12132	8642
584	12149	8619
585	12167	8596
586	12188	8575
587	12207	8553
588	12223	8529
589	12240	8506
590	12253	8479
591	12274	8459
592	12298	8441
593	12315	8417
594	12340	8400
595	12362	8379
596	12396	8368
597	12434	8358
598	12460	8341
599	12478	8318
600	12512	8307
601	12530	8284
602	12562	8271
603	12583	8250
604	12608	8231
605	12626	8209
606	12644	8186
607	12664	8165
608	12683	8143
609	12699	8119
610	12721	8099
611	12741	8077
612	12761	8056
613	12782	8035
614	12798	8012
615	12818	7990
616	12836	7968
617	12853	7945
